authored_family_id,name,kind,common_family_candidates,qualification
F01,辨識、抓取並放至指定位置,embodied_activity,CF01,"Pattern-level guide, not a completed native-task annotation"
F02,依規則分類一組物件,embodied_activity,CF03,"Pattern-level guide, not a completed native-task annotation"
F03,完成多物件相對配置,embodied_activity,CF01,"Pattern-level guide, not a completed native-task annotation"
F04,形成指定穩定堆疊,embodied_activity,CF01,"Pattern-level guide, not a completed native-task annotation"
F05,依清單與容量裝箱,embodied_activity,CF04,"Pattern-level guide, not a completed native-task annotation"
F06,開啟、存入並關閉機構,embodied_activity,CF04,"Pattern-level guide, not a completed native-task annotation"
F07,從受遮擋容器取物並復原,embodied_activity,CF02,"Pattern-level guide, not a completed native-task annotation"
F08,排除遮擋後取物並復原障礙,embodied_activity,CF02,"Pattern-level guide, not a completed native-task annotation"
F09,依歷史找到並處理物件,embodied_activity,CF02,"Pattern-level guide, not a completed native-task annotation"
F10,盤點並補足指定集合,embodied_activity,CF03,"Pattern-level guide, not a completed native-task annotation"
F11,檢查狀態後分流處理,embodied_activity,CF14,"Pattern-level guide, not a completed native-task annotation"
F12,依程序操作面板並驗證,embodied_activity,CF05,"Pattern-level guide, not a completed native-task annotation"
F13,操作旋轉／扣合封口,embodied_activity,CF05,"Pattern-level guide, not a completed native-task annotation"
F14,將零件插入相容接口,embodied_activity,CF06,"Pattern-level guide, not a completed native-task annotation"
F15,組合零件並通過功能檢查,embodied_activity,CF06,"Pattern-level guide, not a completed native-task annotation"
F16,拆卸並保存所需零件,embodied_activity,CF06,"Pattern-level guide, not a completed native-task annotation"
F17,用工具推拉或取出受限物,embodied_activity,CF01|CF02,"Pattern-level guide, not a completed native-task annotation"
F18,使用工具緊固或鬆開連接,embodied_activity,CF06,"Pattern-level guide, not a completed native-task annotation"
F19,以協調抓持搬運大型物,embodied_activity,CF12,"Pattern-level guide, not a completed native-task annotation"
F20,展開並整理柔性片材,embodied_activity,CF07,"Pattern-level guide, not a completed native-task annotation"
F21,依指定摺法處理柔性片材,embodied_activity,CF07,"Pattern-level guide, not a completed native-task annotation"
F22,完成摺疊後存放柔性物,embodied_activity,CF04|CF07,"Pattern-level guide, not a completed native-task annotation"
F23,將柔性物懸掛或披放,embodied_activity,CF07,"Pattern-level guide, not a completed native-task annotation"
F24,將繩線穿過或沿指定路徑佈設,embodied_activity,CF07,"Pattern-level guide, not a completed native-task annotation"
F25,柔性扣件或繫結操作,embodied_activity,CF07,"Pattern-level guide, not a completed native-task annotation"
F26,把柔性套件套合到目標形狀,embodied_activity,CF07,"Pattern-level guide, not a completed native-task annotation"
F27,以工具完成指定接觸覆蓋,embodied_activity,CF08,"Pattern-level guide, not a completed native-task annotation"
F28,以非抓取方式收集散落物,embodied_activity,CF08,"Pattern-level guide, not a completed native-task annotation"
F29,倒取或轉移剛體顆粒,embodied_activity,CF09,"Pattern-level guide, not a completed native-task annotation"
F30,液體轉移並驗證指定終態,embodied_activity,CF09,"Pattern-level guide, not a completed native-task annotation"
F31,使用量測回饋配量,embodied_activity,CF09,"Pattern-level guide, not a completed native-task annotation"
F32,執行可驗證的攪動程序,embodied_activity,CF09,"Pattern-level guide, not a completed native-task annotation"
F33,對材料進行指定分割,embodied_activity,CF10,"Pattern-level guide, not a completed native-task annotation"
F34,對柔順物施加指定壓縮或成形,embodied_activity,CF10,"Pattern-level guide, not a completed native-task annotation"
F35,操作設備、等待狀態並取放,embodied_activity,CF05|CF14,"Pattern-level guide, not a completed native-task annotation"
F36,導航到指定目標並證明到達,embodied_activity,CF11,"Pattern-level guide, not a completed native-task annotation"
F37,搜尋並移動取回指定物,embodied_activity,CF02,"Pattern-level guide, not a completed native-task annotation"
F38,保持載荷要求的移動運送,embodied_activity,CF12,"Pattern-level guide, not a completed native-task annotation"
F39,按順序完成多站服務並返回,embodied_activity,CF12|CF14,"Pattern-level guide, not a completed native-task annotation"
F40,重排通道或操作環境後通行,embodied_activity,CF11,"Pattern-level guide, not a completed native-task annotation"
F41,向指定合作方交接物件,embodied_activity,CF13,"Pattern-level guide, not a completed native-task annotation"
F42,共享資源的等待、使用與歸還,embodied_activity,CF13,"Pattern-level guide, not a completed native-task annotation"
F43,依人類意圖提供適時協助,embodied_activity,CF13,"Pattern-level guide, not a completed native-task annotation"
F44,與合作方共同支承或對齊,embodied_activity,CF13,"Pattern-level guide, not a completed native-task annotation"
F45,辨識並跟隨指定對象,embodied_activity,CF11,"Pattern-level guide, not a completed native-task annotation"
F46,主動取得證據並回答場景問題,active_information,CF15,"Pattern-level guide, not a completed native-task annotation"
F47,取得數位資訊後完成實體工作,embodied_activity,outcome_dependent,"Pattern-level guide, not a completed native-task annotation"
F48,將工作區復原至記錄狀態,embodied_activity,CF14,"Pattern-level guide, not a completed native-task annotation"
