id,priority,status,title,current,deliverable,acceptance
GAP-01,P0,partial,正式任務表、去重結果與 2× 分母尚未完成,"已索引 1,146 個宣告目標、598 筆含明訂 success 評估或條件註冊的來源，並找到 42 組 goal-only 候選重疊。完整 G2 語義去重與相對規模分母仍未完成。",source native ID → canonical G2 對照表、合併／拆分理由、版本／scope 分層的數量表，以及最大可比參照集。,每個被計數的 task spec 有 typed goal、必要過程、指涉與角色／機制條件；共同規則同樣用於前作，分歧經覆核。場域與機體綁定不增加全球 G2。
GAP-02,P0,partial,比較矩陣待核格子多，逐格證據仍不完整,已為 1428 個比較格子建立來源、支撐狀態、審閱狀態和定位候選。1162 格仍未由已查範圍確定支撐；自動字詞定位不是覆蓋證據。另有 279 筆結構化數量紀錄。,逐格 evidence ledger：來源版本、定位、代表 task IDs、task／asset／video／evaluation 支撐類型、審閱者與分歧處理；另將複合文字數量拆成 typed count records。,優先完成主要規模參照的相關格子；未知保持未知。原作報告、題材推測、實例支持與本計畫重跑證據分開，不因缺公開資料把分母當成 0。
GAP-03,P0,rules_defined,共同分類手冊已建立，全庫映射與覆核仍待完成,已提供開發作者手冊：12 場域、16 個共同結果家族 CF、9 個 K 機制、48 個原工作流模式對照，以及 task/count/evidence schemas 和防誤計測試。全庫逐任務標註與獨立覆核仍未完成。,版本化 D／F／K codebook、納入與排除正反例、主要 family 規則、必需機制判定、跨作獨立覆核與粗／細粒度敏感性分析。,同一規則適用全部比較工作；每格可回查有效任務和實例。每域 8 個家族與 3 類機制只保證各軸數量，不自動保證 8×3 個有效交叉格。
GAP-04,P0,partial,場景分層與製作目標已定，完整有效資產庫仍待建立,"已建立50原生任務對36個MJCF入口的台帳，並提出240個任務相關layout／48組style／至少6,000有效配置的製作預算。配置需實際建立與驗收；這些目標尚未完成，MJCF入口不是獨立新layout。",scene asset／layout／style／object asset／G3 state 分層台帳；訂出要主張的尺度、相容來源和有效綁定目標。,layout 或 style 組合、物件版本與新初態分開計數；每個宣稱支持的場域由任務相關環境條件支持。
GAP-05,P0,partial,哪些任務是復用、修改或新增，尚無逐項增量表,目前已執行的50個原生任務屬既有任務復用；reset同步修正是adapter改動，不是新增G2。目標重疊候選與來源追蹤已建立，完整新增／修改／復用語義清單仍待裁定。,對照前作聯集的增量 ledger：原任務、修改內容、新目標／必要流程、使用理由、所補覆蓋格子與判分要求。,新增 ID、改色、背景、camera、seed 或不必要的步驟不自動算新任務；修改版仍需依共同語義規則判斷是否是新的 G2。
GAP-06,P0,partial,原生單臂adapter已建立，其他材料／機體／backend仍待擴充,已實作並測試 Meta-World／MuJoCo 的 state＋goal adapter；目前 forward-consistent 訓練與測試合計 750 個原生初態，單 Sawyer 操作臂與剛體／關節任務。其他機體、材料與backend尚未驗證。,相容性矩陣、固定版本／controller／sensors、reset／step／trace adapter，以及跨主要物理與機體條件的 6–8 個初始閉環。,每個 anchor 有實際 assets、可追蹤初態、同介面專家執行和有效 trace；平台狀態機、視覺動畫與材料物理各自標明支撐範圍。
GAP-07,P0,partial,原生判分已有驗證，過程／恢復與其他材料仍待擴充,"最新測試 1,250 次有完整trace，100次重播無分歧；reach/window共50,000步幾何比對一致。reset快取問題已修正；其他判分器與完整過程／恢復量測仍待擴充。",按 family／material 建立 evaluator、獨立成功與失敗樣本、量測有效性標記、reset／介入紀錄與 reviewer 審核。,接受合法替代並拒絕假成功；GoalSuccess／CompliantSuccess 分開；完整 episode、介入施加率、条件恢复和固定快照診斷分開。
GAP-08,P1,partial,Ego、身體相機與 VLOG 尚未形成實際影片—任務配對庫,"已核對WatchAct的3,045列、609原例和1,827影片路徑。另下載1原例的3影片並檢視15抽樣影格；三檔長度不同，完整同步仍待核對。尚未建立本計畫已驗證的human-video-to-robot執行測例；不重新發布原始媒體。",來源影片與 session 清單、相機／剪輯／時間 metadata、goal pairing、資訊充分性與 A/B 目標審核，按來源類型列實際適用任務數。,人類影片和 robot 合成影片分開；same-goal pairing 不宣稱幾何對齊；剪輯或遮擋改變可推斷性時同步修訂合法答案／測例。
GAP-09,P1,partial,開發基線已有結果，正式相容panel與權重仍待凍結,已建立五個可比較的state-based開發方法：腳本參考、隨機、零動作、線性BC與Extra Trees BC。兩個BC以其他初態訓練，250個新初態比較並核對權重和動作；仍不是跨材料／機體的最終VLA panel。,每個 execution track 的固定 baseline panel、完整相容集合、域內 family／task 權重、缺測／超時／崩潰處理與配對分析規則。,模型不得自選擅長測例；不同資訊／機體／學習設定分層。同 G2 跨域或同來源 clips 的依賴，須保留在聚合與不確定性估計中。
GAP-10,P1,partial,來源 lineage、資料切分和可取得資源仍只有規則／示例,原生BC訓練／測試seed與實際初態hash不重疊，保存完整protocol／來源hash；WatchAct原例與多視角的連結已建立。全庫錄製session、人物／場景／資產家族切分與資源授權台帳仍待擴充。,全庫來源依賴圖、train／validation／test ID manifests、衍生資產／腳本／影片群組、明確 held-out 軸，以及各資源取得／發布條件紀錄。,先切來源群組，再生成 clips、QA、plans 或 pairs；每個泛化主張有對應的重疊報告。無法審核的模型預訓練保持未知。
