id,priority,category,status,title,current,impact,deliverable,acceptance,milestone,evidence_paths
GAP-01,P0,evidence,open,正式任務表、去重結果與 2× 分母尚未完成,"有 5,020 筆異質來源紀錄與 G2 定義原則；本計畫和前作的共同 G2 數仍為 null，兩個相對門檻的分母也未定。","不能由来源筆數推出已有 2,000–3,000 種任務，也不能證明任務規模領先。",source native ID → canonical G2 對照表、合併／拆分理由、版本／scope 分層的數量表，以及最大可比參照集。,每個被計數的 task spec 有 typed goal、必要過程、指涉與角色／機制條件；共同規則同樣用於前作，分歧經覆核。場域與機體綁定不增加全球 G2。,S1；實例與判分證據續接 S2–S4,planning/overall_design/overall_design_plan.json | planning/scale_first/inventory_statistics.json | planning/granularity/scale_schema.json
GAP-02,P0,evidence,open,比較矩陣待核格子多，逐格證據仍不完整,33 項前作的領域／能力矩陣有大量 unknown；目前主要提供每列原文，未逐格連到頁碼、表格、task IDs 和支撐範圍。有些正例是場景用途或題材映射。,矩陣可作查核入口，尚不能用來證明前作欠缺某領域，或計算已驗證的覆蓋倍數。,逐格 evidence ledger：來源版本、定位、代表 task IDs、task／asset／video／evaluation 支撐類型、審閱者與分歧處理；另將複合文字數量拆成 typed count records。,優先完成主要規模參照的相關格子；未知保持未知。原作報告、題材推測、實例支持與本計畫重跑證據分開，不因缺公開資料把分母當成 0。,S1,planning/comparison/benchmark_matrix.json | planning/comparison/source_verification.json | planning/comparison/build_comparison.py
GAP-03,P0,design,open,共同 F／K 分類與交叉覆蓋還缺可執行的標註手冊,有 12 場域、48 個作者家族，以及文字中的 K01–K09 提案；K 尚未作為定版欄位進入 taxonomy.json，跨作共同 family mapping 也未完成。,不同人可能採不同粒度；增加標籤會改變 coverage cells，尚不能把它當客觀完整量尺。,版本化 D／F／K codebook、納入與排除正反例、主要 family 規則、必需機制判定、跨作獨立覆核與粗／細粒度敏感性分析。,同一規則適用全部比較工作；每格可回查有效任務和實例。每域 8 個家族與 3 類機制只保證各軸數量，不自動保證 8×3 個有效交叉格。,S1,taxonomy.json | task_families.json | planning/overall_design/OVERALL_DESIGN_V0_4.md
GAP-04,P0,design,open,獨立場景、layout 與資產的規模目標尚未訂,"有 30,000 G3 的條件式預算示例，但沒有獨立場景資產或 layout 的正式目標、來源清單與去重規則。",不能用初態實例數宣稱場景資產比前作多；大規模主張仍缺這個尺度。,scene asset／layout／style／object asset／G3 state 分層台帳；訂出要主張的尺度、相容來源和有效綁定目標。,layout 或 style 組合、物件版本與新初態分開計數；每個宣稱支持的場域由任務相關環境條件支持。,S1 計數定案；S2–S4 建置,planning/comparison/benchmark_matrix.json | planning/overall_design/overall_design_plan.json
GAP-05,P0,evidence,open,哪些任務是復用、修改或新增，尚無逐項增量表,設計已提出三種來源途徑，但尚未得到去重後的 reused／modified／new 任務集合及其覆蓋增量。,目前能說明研發方向，還不能以數據區分重新包裝與新 benchmark 貢獻。,對照前作聯集的增量 ledger：原任務、修改內容、新目標／必要流程、使用理由、所補覆蓋格子與判分要求。,新增 ID、改色、背景、camera、seed 或不必要的步驟不自動算新任務；修改版仍需依共同語義規則判斷是否是新的 G2。,S1–S4,planning/overall_design/OVERALL_DESIGN_V0_4.md | planning/scale_first/SCALE_FIRST_SPEC_V0_3.md
GAP-06,P0,implementation,open,Backend × 材料 × 機體的可行性與實際 adapters 未建立,有候選平台、profile 與接口草案；已登記的有效實例、simulator trials 和正式 adapters 仍未完成。,無法確認廣度配額能在哪些環境與控制條件下落地，也無法估計移植成功率。,相容性矩陣、固定版本／controller／sensors、reset／step／trace adapter，以及跨主要物理與機體條件的 6–8 個初始閉環。,每個 anchor 有實際 assets、可追蹤初態、同介面專家執行和有效 trace；平台狀態機、視覺動畫與材料物理各自標明支撐範圍。,S2；其後逐批擴到 S3–S4 的全庫,IMPLEMENTATION_PLAN.md | episode_template.json | planning/overall_design/overall_design_plan.json
GAP-07,P0,implementation,open,可解性、判分器與恢復協定尚缺實際驗收證據,成功／合規成功、合法替代、近失敗與恢復分母的原則已寫；量測容差、判分程式及實際正反例未校準。,不能確定成功率代表完成任務，也不能把所有模型失敗直接解讀成高難度。,按 family／material 建立 evaluator、獨立成功與失敗樣本、量測有效性標記、reset／介入紀錄與 reviewer 審核。,接受合法替代並拒絕假成功；GoalSuccess／CompliantSuccess 分開；完整 episode、介入施加率、条件恢复和固定快照診斷分開。,S2，持續至每批 S3–S4,EVALUATION_PROTOCOL.md | metrics_catalogue.json | scenario_specs/SC-H15.json
GAP-08,P1,implementation,open,Ego、身體相機與 VLOG 尚未形成實際影片—任務配對庫,有觀測分類、配對層級和 300–500 G2 目標；本計畫收集／接入的人類影片 pairs 為 0。,還不能主張支援各種影片來源的執行評測，或確定影片提供了必要且足夠的目標資訊。,來源影片與 session 清單、相機／剪輯／時間 metadata、goal pairing、資訊充分性與 A/B 目標審核，按來源類型列實際適用任務數。,人類影片和 robot 合成影片分開；same-goal pairing 不宣稱幾何對齊；剪輯或遮擋改變可推斷性時同步修訂合法答案／測例。,S1 資源確認，S2–S4 配對驗收,DATA_AND_SPLITS.md | goal_pair_templates.json | planning/overall_design/overall_design_plan.json
GAP-09,P1,design,open,基線名單、相容集合與排名權重尚未凍結,已有分榜、相同 contract、macro／micro 與 oracle 原則；仍缺具名 checkpoint、action／sensor 約定、數據／推理預算與完整 eligible manifest。,尚不能保證不同模型的成績可比；8 個完整相容方法只是預算假設。,每個 execution track 的固定 baseline panel、完整相容集合、域內 family／task 權重、缺測／超時／崩潰處理與配對分析規則。,模型不得自選擅長測例；不同資訊／機體／學習設定分層。同 G2 跨域或同來源 clips 的依賴，須保留在聚合與不確定性估計中。,S3 校準；S5 正式凍結,EVALUATION_PROTOCOL.md | planning/overall_design/OVERALL_DESIGN_V0_4.md | episode_template.json
GAP-10,P1,implementation,open,來源 lineage、資料切分和可取得資源仍只有規則／示例,已有來源優先切分、asset／session 關係與預訓練未知的處理原則，但沒有建立全庫實際 split manifest 和重疊查核。,泛化結果尚無資料隔離證據；不同名稱的資料集或移植任務可能共享來源。,全庫來源依賴圖、train／validation／test ID manifests、衍生資產／腳本／影片群組、明確 held-out 軸，以及各資源取得／發布條件紀錄。,先切來源群組，再生成 clips、QA、plans 或 pairs；每個泛化主張有對應的重疊報告。無法審核的模型預訓練保持未知。,S1–S4；S5 前凍結,DATA_AND_SPLITS.md | source_lineage_examples.csv | planning/scale_first/pinned_sources.json
